"samp_session","id","treatment","prior_temp_24","prior_temp_26","prior_temp_28","prior_temp_30","prior_temp_32","prior_temp_34","lnmass_24","lnmass_26","lnmass_28","lnmass_30","lnmass_32","lnmass_34","z_lnmass_24","z_lnmass_26","z_lnmass_28","z_lnmass_30","z_lnmass_32","z_lnmass_34","lnmr_24","lnmr_26","lnmr_28","lnmr_30","lnmr_32","lnmr_34"
1,"ld0455",29,24.4,30,NA,24.1,24,NA,-1.50507789710986,-1.48280526150073,NA,-1.48280526150073,-1.50507789710986,NA,-0.302835118872163,-0.19528150455131,NA,-0.19528150455131,-0.302835118872163,NA,-6.76878838786136,-5.81129113674667,NA,-6.65558171321351,-5.87712457031023,NA
2,"ld0455",29,34,25.5,NA,26,NA,26,-1.52326021619305,-1.52326021619305,NA,-1.52326021619305,NA,-1.52326021619305,-0.39063676787553,-0.39063676787553,NA,-0.39063676787553,NA,-0.39063676787553,-6.83571256909514,-7.08240800062514,NA,-6.43562915733266,NA,-5.77331957356054
2,"ld0455",29,34,25.5,NA,26,NA,26,-1.52326021619305,-1.52326021619305,NA,-1.52326021619305,NA,-1.52326021619305,-0.39063676787553,-0.39063676787553,NA,-0.39063676787553,NA,-0.39063676787553,-6.73503590274974,-6.63635761240189,NA,-6.84109426544082,NA,-5.60146931663389
3,"ld0455",29,NA,30,18.8,21.4,NA,28,NA,-1.38629436111989,-1.49165487677772,-1.38629436111989,NA,-1.49165487677772,NA,0.270765547063349,-0.238015922026296,0.270765547063349,NA,-0.238015922026296,NA,-6.86742627126975,-7.3641061412806,-6.66143191001409,NA,-5.93507835865718
3,"ld0455",29,NA,30,18.8,21.4,NA,28,NA,-1.38629436111989,-1.49165487677772,-1.38629436111989,NA,-1.49165487677772,NA,0.270765547063349,-0.238015922026296,0.270765547063349,NA,-0.238015922026296,NA,-6.570218502861,-6.74246615117432,-6.00958853559538,NA,-5.88149411252307
4,"ld0455",29,NA,34,19.2,NA,28,17.5,NA,-1.38629436111989,-1.41058705368894,NA,-1.41058705368894,-1.38629436111989,NA,0.270765547063349,0.153457163213355,NA,0.153457163213355,0.270765547063349,NA,-6.39073808310024,-5.83724668091415,NA,-5.99920302071657,-5.90917898428935
4,"ld0455",29,NA,34,19.2,NA,28,17.5,NA,-1.38629436111989,-1.41058705368894,NA,-1.41058705368894,-1.38629436111989,NA,0.270765547063349,0.153457163213355,NA,0.153457163213355,0.270765547063349,NA,-6.63136023168841,-6.05570837647474,NA,-6.22980002268536,-6.10608357024559
5,"ld0455",29,NA,15.9,34,NA,26,24.6,NA,-1.39432653281715,-1.43548460531066,NA,-1.39432653281715,-1.43548460531066,NA,0.231978530023813,0.0332279406080199,NA,0.231978530023813,0.0332279406080199,NA,-6.6096389447995,-6.29003728371383,NA,-6.37797787463309,-6.14724610233626
5,"ld0455",29,NA,15.9,34,NA,26,24.6,NA,-1.39432653281715,-1.43548460531066,NA,-1.39432653281715,-1.43548460531066,NA,0.231978530023813,0.0332279406080199,NA,0.231978530023813,0.0332279406080199,NA,-6.23625323814995,-6.36183520612839,NA,-6.65756273685225,-6.04188558667844
6,"ld0455",29,15.9,30,NA,16.6,NA,24,-1.39836694235416,-1.36649173382371,NA,-1.36649173382371,NA,-1.39836694235416,0.212467563442771,0.366391595822504,NA,0.366391595822504,NA,0.212467563442771,-6.9451645883492,-6.47504386996574,NA,-6.07208540819479,NA,-6.03991837232305
